"wave","EIrrad"
870,0.959726476425554
871,0.978311635497484
872,0.957942468399231
873,0.949192207010452
874,0.942662255663407
875,0.942365643537225
876,0.919519358882337
877,0.961587215311147
878,0.962433713343291
879,0.966771703006736
880,0.954949595185354
881,0.825026072861875
882,0.949126613956321
883,0.953118612553155
884,0.906773602718706
885,0.93334876162816
886,0.936971243554021
887,0.879127021560513
888,0.91666536295769
889,0.942386898578652
890,0.935797789040854
891,0.937547610621259
892,0.932502512510628
893,0.892322741024688
894,0.935077729463131
895,0.89580716658047
896,0.932792851189648
897,0.885344382880424
898,0.902300632014118
899,0.919630770935579
900,0.874714068544634
901,0.876867416557665
902,0.859542313329289
903,0.907028508551171
904,0.906097791721451
905,0.909551560607665
906,0.906255619350921
907,0.907464422456832
908,0.864070318335124
909,0.815551151880307
910,0.877839635359899
911,0.879152086763343
912,0.838821167620167
913,0.894772964528097
914,0.888793470178229
915,0.851262302240858
916,0.880985458667627
917,0.874528547499363
918,0.867771501433368
919,0.872480110874961
920,0.863436281408298
921,0.853519332007261
922,0.837012148331525
923,0.783416630543874
924,0.826957485921599
925,0.831939930584741
926,0.785562727006688
927,0.856340885529058
928,0.853355412179033
929,0.842696094884895
930,0.843937526819787
931,0.847638066335971
932,0.83189309770733
933,0.84586698895814
934,0.847898434290376
935,0.840958876455344
936,0.823782025034856
937,0.840676153582188
938,0.844964656548551
939,0.829677966173559
940,0.834569507206598
941,0.796123794155985
942,0.810421808300842
943,0.828435057957877
944,0.785799107601598
945,0.80600821617176
946,0.819776899327973
947,0.822484290088374
948,0.818970788142515
949,0.811755322913917
950,0.817280295594384
951,0.809797645240478
952,0.811905207671364
953,0.79746382718518
954,0.795069086884037
955,0.72223963951188
956,0.797943035811634
957,0.795760109193285
958,0.801176635350011
959,0.796732725401023
960,0.790755131202647
961,0.782435194888873
962,0.794984625562017
963,0.775576094366592
964,0.772836397292727
965,0.780348119306619
966,0.750907804848008
967,0.788541901911971
968,0.770634950466654
969,0.771463114003483
970,0.785149673675157
971,0.765072159182586
972,0.776975027196222
973,0.767106615783114
974,0.747055978282848
975,0.762568254528077
976,0.771936069087621
977,0.766078832877894
978,0.77493971140232
979,0.742142573213006
980,0.763571947848671
981,0.766324989391586
982,0.765628292857418
983,0.759021673598533
984,0.761318798622328
985,0.76061031830192
986,0.757017743609943
987,0.757349334448264
988,0.760182481754932
989,0.73639885982167
990,0.737113986930884
991,0.750000185308311
992,0.751551396808866
993,0.748760635530107
994,0.748365446590513
995,0.743249646545013
996,0.741111658726197
997,0.741031823244361
998,0.739004698516034
999,0.73501554275392
1000,0.734
1001,0.736009699817409
1002,0.735006958968872
1003,0.725836814624338
1004,0.717039691588179
1005,0.659251409377902
1006,0.701871308218362
1007,0.719970410914856
1008,0.723491506269881
1009,0.721423205790829
1010,0.722010253925492
1011,0.717118610947086
1012,0.720822109578205
1013,0.718495988492386
1014,0.715997743902406
1015,0.698824565975199
1016,0.707595903920097
1017,0.707287488204317
1018,0.711329485276642
1019,0.702440082730237
1020,0.701015205322129
1021,0.701940898724296
1022,0.674845308822337
1023,0.702046372913443
1024,0.698948242626129
1025,0.69690173347895
1026,0.700060905165011
1027,0.695976522029155
1028,0.698085612875992
1029,0.679832291486751
1030,0.692650399947311
1031,0.690733661559522
1032,0.690972737277367
1033,0.667480376285283
1034,0.688638977127365
1035,0.679109698514053
1036,0.685798664361028
1037,0.681935773623159
1038,0.670782265733203
1039,0.67958661338362
1040,0.662821762361719
1041,0.671869696411771
1042,0.674997741059793
1043,0.665668810102232
1044,0.670780811647069
1045,0.664894705719665
1046,0.64114131863693
1047,0.659042999648654
1048,0.668001788069344
1049,0.663921568043289
1050,0.659911547951762
1051,0.662825439275747
1052,0.655895275746828
1053,0.660016756066941
1054,0.657897057027858
1055,0.657825236890775
1056,0.656081627552727
1057,0.654930376400216
1058,0.650949254547267
1059,0.621195543551113
1060,0.652993529236556
1061,0.640878320815345
1062,0.646047610191246
1063,0.628339410248983
1064,0.647197680780013
1065,0.644615988716495
1066,0.640180933165847
1067,0.64095685145322
1068,0.641053205887324
1069,0.612293901001508
1070,0.625310086125585
1071,0.622005917385957
1072,0.627261899062035
1073,0.597353692535598
1074,0.633993856089872
1075,0.604530978875605
1076,0.628643097281967
1077,0.620032707731809
1078,0.628434729493763
1079,0.595411663538912
1080,0.621338734371011
1081,0.619003536984865
1082,0.613844067313195
1083,0.574955377856898
1084,0.612732309008656
1085,0.61106047953104
1086,0.618068026779251
1087,0.573926807764084
1088,0.614112392014611
1089,0.591730140882839
1090,0.600495982529293
1091,0.606914597477547
1092,0.591627579752514
1093,0.590342544435095
1094,0.524141177963314
1095,0.586743784849215
1096,0.582462704194765
1097,0.568786661297805
1098,0.575433416487147
1099,0.585490638768394
1100,0.590019457049052
1101,0.589716595430783
1102,0.560597106569046
1103,0.586273236968911
1104,0.583013003315384
1105,0.578176033701506
1106,0.578114529245228
1107,0.576575866921965
1108,0.580295929309897
1109,0.582326985153174
1110,0.582999256256534
1111,0.577785477046712
1112,0.571903049081186
1113,0.57649207219461
1114,0.580245750888029
1115,0.566783559582954
1116,0.563334201301528
1117,0.57743515653545
1118,0.572796086192083
1119,0.55029463726835
1120,0.55787397509862
1121,0.564124903809465
1122,0.568955908515322
1123,0.563930388675419
1124,0.566457005484838
1125,0.560808534788832
1126,0.551050562016339
1127,0.565186210086818
1128,0.550257009209692
1129,0.553340338287943
1130,0.544047205649585
1131,0.556027820311968
1132,0.557127922565932
1133,0.550555346428356
1134,0.547736444332449
1135,0.55538628804955
1136,0.548431021357559
1137,0.555099655418656
1138,0.542748909097771
1139,0.544936164032286
1140,0.544011677217964
1141,0.53326958934627
1142,0.546486156989426
1143,0.541585883076384
1144,0.527971477166696
1145,0.537688295084169
1146,0.541999377503431
1147,0.547110118697913
1148,0.544171500352659
1149,0.537480761169755
1150,0.53642965540185
1151,0.53776879873945
1152,0.531350072135897
1153,0.534963668537787
1154,0.538662843018869
1155,0.539007086597673
1156,0.527256394714512
1157,0.533084644804591
1158,0.53211974523707
1159,0.525600746717811
1160,0.521922421083097
1161,0.507996877632015
1162,0.522921179209434
1163,0.523626090284395
1164,0.512123237984722
1165,0.524093393863567
1166,0.508122098192646
1167,0.516894341698762
