"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20"
0.950045,0.94981,0.93678,6.92328e-05,0.00410076,0.000261292,1.24174e-05,1.71093e-05,3.47388e-05,0.000125404,0.000111932,0.260364,0.000808676,0.845132,0.0304012,0.995624,0.935528,1,0.00103616,0.000560686
0.974604,0.94981,0.93678,6.58182e-05,0.00410076,0.000335598,9.31588e-06,2.08345e-05,0.000119187,0.000183974,7.15352e-05,0.286482,0.000120428,0.837311,0.0786975,1,0.982867,0.990484,0.000229683,0.000183055
0.974604,0.981414,0.837459,0.000100841,0.00932115,0.000408577,1.1243e-05,2.9094e-05,0.000362213,0.000377622,6.02298e-05,0.314287,0.000412739,0.843284,0.182201,0.994091,0.99937,0.954205,0.000225379,8.02609e-05
0.990802,0.981414,0.679754,0.000104205,0.0206315,0.000524848,1.4133e-05,5.7924e-05,0.00025814,0.000232028,0.000119795,0.343473,9.05221e-05,0.846415,0.350661,0.977992,1,0.900188,0.000100319,6.77328e-05
0.990802,0.97637,0.48634,0.000103354,0.0437816,0.000784429,1.04254e-05,4.17269e-05,4.99425e-05,9.28253e-05,0.000348286,0.374758,0.000106752,0.860784,0.566436,0.917341,0.99529,0.822227,0.000110245,8.19842e-05
1,0.994017,0.278806,0.000154793,0.0437816,0.000615744,1.27336e-05,1.01171e-05,1.79046e-05,9.34926e-05,0.00119145,0.407324,4.22956e-05,0.884946,0.769634,0.860936,0.987138,0.736447,0.000104285,2.87805e-05
0.995117,0.994017,0.10666,0.000162017,0.090595,0.00263646,0.000154054,6.27385e-05,8.08911e-05,0.000102392,0.0055696,0.441075,8.4733e-05,0.911153,0.909875,0.71745,0.970963,0.652943,8.82973e-05,5.94487e-05
0.995117,1,0.0309991,0.000169826,0.179606,0.00436661,0.000452058,0.00012862,5.57763e-05,8.2427e-05,0.0259655,0.477278,6.56964e-05,0.92919,0.97297,0.632326,0.939849,0.574136,0.000136903,0.000120323
0.938498,0.979251,0.00901877,0.000166475,0.179606,0.00750206,0.000321376,0.000281897,3.41296e-05,0.000101442,0.146929,0.516101,0.000215214,0.917578,0.992396,0.458389,0.881859,0.491559,4.44512e-05,0.000148845
0.938498,0.929473,0.00326324,0.000229573,0.313027,0.0147673,0.000195408,0.000626594,3.12147e-05,9.6133e-05,0.367228,0.555892,0.000440674,0.870342,0.998384,0.375542,0.798368,0.387794,0.00015214,0.00022173
0.802791,0.929473,0.00158635,0.000290304,0.476246,0.0319952,0.000166237,0.00218818,4.31124e-05,0.000120111,0.68446,0.597112,0.000825851,0.787985,1,0.233188,0.671905,0.26265,0.000241266,0.000448907
0.569115,0.853851,0.00158635,0.000416434,0.476246,0.0731371,0.000152778,0.000190119,0.000109264,0.00013732,0.724822,0.640963,0.0010283,0.665293,0.995265,0.185368,0.537742,0.153201,0.000447549,0.000481344
0.569115,0.853851,0.000927721,0.000667772,0.638402,0.149887,0.000150773,0.000122838,0.000166402,0.000107925,0.727771,0.685517,0.00179476,0.502695,0.986303,0.113761,0.387614,0.0783504,0.00111244,0.000572415
0.276504,0.749499,0.000587577,0.00307108,0.795755,0.27305,0.000175821,0.000362592,0.00114376,0.000300633,0.733656,0.729064,0.000746964,0.321345,0.974737,0.0912707,0.266901,0.0360984,0.00260528,0.000508293
0.276504,0.608954,0.000464533,0.0355434,0.919454,0.425666,0.000223303,0.000415579,0.00359902,0.000276261,0.745276,0.772776,0.00113458,0.171332,0.968763,0.0568746,0.176987,0.0173393,0.004129,0.000133733
0.0748605,0.608954,0.000360024,0.229718,0.919454,0.590853,0.000290183,0.000480299,0.000113875,0.000124103,0.753959,0.815496,0.00165372,0.0784788,0.96809,0.0454563,0.116369,0.00934411,0.00186628,2.68547e-05
0.0144916,0.426368,0.000337509,0.599596,0.986185,0.756157,0.00064048,0.000704418,0.000113855,0.000243604,0.768836,0.8566,0.00193717,0.0331535,0.973408,0.0287779,0.0745707,0.00513041,0.000509453,1.6655e-05
0.0144916,0.426368,0.000252814,0.9181,1,0.893901,0.00108751,0.000993038,8.3523e-05,0.000126424,0.774306,0.893258,0.00283349,0.0144349,0.983348,0.0237454,0.0457911,0.0024948,0.000589246,1.23278e-05
0.00327816,0.228721,0.00013101,1,1,0.968958,0.00191672,0.00209355,5.31055e-05,0.000590041,0.790446,0.925131,0.00395436,0.00670438,0.9879,0.016255,0.0277841,0.00120628,0.000597368,8.47401e-06
0.00327816,0.0876152,0.000229561,0.909819,0.994435,1,0.00337639,0.00153669,5.42899e-05,0.000552173,0.813292,0.952935,0.00707876,0.0034712,0.982297,0.0144027,0.0173182,0.000531624,0.000538533,5.84122e-06
0.000955106,0.0876152,0.000791123,0.754917,0.978343,0.999002,0.00643322,0.00381636,0.000109354,0.00138738,0.868503,0.974404,0.0125305,0.00188232,0.962784,0.000658991,0.0111427,0.000172412,0.000453382,7.45655e-06
0.000273069,0.0300316,0.000644297,0.427553,0.978343,0.948556,0.0118963,0.00716805,0.000165201,0.00246915,0.904408,0.988973,0.0291913,0.00116973,0.905679,4.97932e-06,0.00738431,4.43504e-05,0.000371349,1.01847e-05
0.000273069,0.0300316,0.000205371,0.165705,0.936855,0.850051,0.0234688,0.0140354,0.000138523,0.0032992,0.965654,0.99714,0.0553052,0.000685301,0.789595,2.7014e-05,0.00503164,0.000559791,0.00015448,1.68853e-05
0.000171243,0.0121307,3.7285e-05,0.00471512,0.845562,0.724795,0.0439229,0.0287295,0.000342517,0.00373277,0.990801,1,0.113904,0.000345787,0.613405,2.12214e-05,0.00346678,0.000110739,2.53879e-05,7.64061e-06
0.000171243,0.00527154,1.88123e-05,0.000157019,0.717473,0.579505,0.0800571,0.0638651,0.00631466,0.00433887,1,0.997327,0.164168,0.000228931,0.407221,0.000165041,0.00237861,4.267e-05,1.92722e-05,1.49095e-05
7.39074e-05,0.00527154,2.00332e-05,6.00927e-05,0.717473,0.394172,0.137202,0.141549,0.00260296,0.00608017,0.946519,0.9909,0.247134,0.000177352,0.204311,9.84028e-05,0.0015234,6.90848e-05,2.82676e-05,2.41758e-05
