"wavelength","Refrac_leafm","SC_chl","SC_car","SC_Anth","SC_Brwon","SC_Cw","SC_Cm","direct_light","diffuse_light","dry_soil","wet_soil"
604,1.4548,0.0215,0,0.016,0.257,0.00245,2.3,1.36,1.62,0.285,0.0313
605,1.4545,0.0218,0,0.0154,0.255,0.00252,2.3,1.36,1.62,0.286,0.0315
606,1.4543,0.022,0,0.0148,0.253,0.00259,2.3,1.36,1.62,0.286,0.0315
607,1.454,0.0223,0,0.0143,0.252,0.00263,2.3,1.37,1.61,0.287,0.0315
608,1.4538,0.0226,0,0.0138,0.25,0.00265,2.3,1.37,1.61,0.287,0.0315
609,1.4535,0.0229,0,0.0133,0.248,0.00267,2.3,1.37,1.61,0.288,0.0316
610,1.4533,0.0232,0,0.0128,0.246,0.00269,2.3,1.37,1.6,0.288,0.0316
611,1.4531,0.0235,0,0.0123,0.245,0.0027,2.3,1.37,1.6,0.289,0.0316
612,1.4528,0.0238,0,0.0119,0.243,0.00272,2.3,1.37,1.6,0.29,0.0316
613,1.4526,0.0242,0,0.0114,0.241,0.00273,2.3,1.37,1.59,0.29,0.0316
614,1.4523,0.0246,0,0.0109,0.24,0.00274,2.3,1.38,1.59,0.291,0.0316
615,1.4521,0.0249,0,0.0105,0.238,0.00275,2.3,1.38,1.59,0.291,0.0316
616,1.4519,0.0253,0,0.01,0.237,0.00276,2.3,1.38,1.58,0.292,0.0316
617,1.4517,0.0256,0,0.00958,0.235,0.00278,2.3,1.38,1.58,0.292,0.0317
618,1.4514,0.026,0,0.00916,0.233,0.00279,2.3,1.38,1.58,0.293,0.0318
619,1.4512,0.0263,0,0.00878,0.232,0.0028,2.3,1.38,1.57,0.293,0.0318
620,1.451,0.0265,0,0.00841,0.23,0.00281,2.3,1.39,1.57,0.294,0.0319
621,1.4508,0.0268,0,0.00805,0.229,0.00282,2.3,1.39,1.56,0.294,0.032
622,1.4506,0.027,0,0.00771,0.227,0.00284,2.3,1.39,1.56,0.295,0.0321
623,1.4504,0.0272,0,0.00738,0.226,0.00285,2.3,1.39,1.56,0.296,0.0321
624,1.4502,0.0274,0,0.00706,0.224,0.00287,2.3,1.39,1.55,0.296,0.0322
625,1.45,0.0275,0,0.00675,0.223,0.00288,2.3,1.39,1.55,0.297,0.0323
626,1.4498,0.0276,0,0.00646,0.222,0.00289,2.3,1.39,1.54,0.297,0.0326
627,1.4497,0.0277,0,0.00617,0.22,0.00291,2.3,1.39,1.54,0.298,0.033
628,1.4495,0.0278,0,0.0059,0.219,0.00292,2.3,1.39,1.53,0.298,0.0334
629,1.4494,0.0279,0,0.00565,0.217,0.00294,2.3,1.39,1.53,0.299,0.0337
630,1.4492,0.028,0,0.0054,0.216,0.00296,2.3,1.39,1.52,0.299,0.0341
631,1.4491,0.0281,0,0.00516,0.214,0.00297,2.3,1.39,1.52,0.3,0.0341
632,1.4489,0.0282,0,0.00493,0.213,0.00299,2.3,1.39,1.51,0.3,0.0341
633,1.4488,0.0284,0,0.00472,0.212,0.003,2.3,1.39,1.51,0.3,0.0341
634,1.4486,0.0286,0,0.00451,0.21,0.00301,2.3,1.39,1.5,0.301,0.0341
635,1.4485,0.0288,0,0.00431,0.209,0.00302,2.3,1.39,1.5,0.301,0.0341
636,1.4484,0.0292,0,0.00412,0.207,0.00304,2.3,1.39,1.5,0.302,0.0343
637,1.4483,0.0296,0,0.00394,0.206,0.00306,2.3,1.39,1.49,0.302,0.0344
638,1.4482,0.0301,0,0.00377,0.205,0.00308,2.3,1.39,1.49,0.303,0.0346
639,1.4481,0.0306,0,0.00361,0.203,0.00309,2.3,1.39,1.48,0.303,0.0348
640,1.448,0.0312,0,0.00345,0.202,0.00311,2.3,1.39,1.48,0.304,0.035
641,1.4479,0.0319,0,0.0033,0.201,0.00313,2.3,1.39,1.47,0.304,0.0352
642,1.4478,0.0327,0,0.00316,0.199,0.00314,2.3,1.39,1.46,0.304,0.0353
643,1.4478,0.0334,0,0.00303,0.198,0.00316,2.3,1.38,1.46,0.305,0.0355
644,1.4477,0.0343,0,0.0029,0.197,0.00318,2.3,1.38,1.45,0.305,0.0357
645,1.4476,0.0351,0,0.00278,0.196,0.0032,2.3,1.38,1.45,0.306,0.0359
646,1.4475,0.0359,0,0.00266,0.194,0.00322,2.3,1.38,1.44,0.306,0.0359
647,1.4475,0.0368,0,0.00255,0.193,0.00324,2.3,1.38,1.43,0.307,0.036
648,1.4474,0.0376,0,0.00245,0.192,0.00326,2.3,1.38,1.43,0.307,0.0361
649,1.4474,0.0383,0,0.00235,0.19,0.00329,2.3,1.38,1.42,0.308,0.0361
650,1.4473,0.039,0,0.00225,0.189,0.00332,2.3,1.38,1.42,0.308,0.0362
651,1.4473,0.0396,0,0.00216,0.188,0.00334,2.3,1.37,1.41,0.309,0.0364
652,1.4472,0.0402,0,0.00207,0.187,0.00336,2.3,1.37,1.4,0.309,0.0365
653,1.4472,0.0408,0,0.00199,0.185,0.00339,2.3,1.37,1.4,0.31,0.0366
654,1.4471,0.0414,0,0.00191,0.184,0.00342,2.3,1.37,1.39,0.31,0.0368
655,1.4471,0.0421,0,0.00183,0.183,0.00346,2.3,1.37,1.38,0.311,0.0369
656,1.447,0.0429,0,0.00175,0.182,0.00351,2.3,1.37,1.38,0.312,0.0371
657,1.447,0.0438,0,0.00168,0.18,0.00357,2.3,1.37,1.37,0.313,0.0373
658,1.4469,0.0449,0,0.00161,0.179,0.00364,2.3,1.37,1.37,0.313,0.0374
659,1.4469,0.0461,0,0.00154,0.178,0.00371,2.3,1.36,1.36,0.314,0.0376
660,1.4468,0.0475,0,0.00147,0.177,0.00379,2.3,1.36,1.35,0.315,0.0378
661,1.4468,0.0491,0,0.0014,0.176,0.00387,2.3,1.36,1.35,0.316,0.0378
662,1.4468,0.0508,0,0.00134,0.174,0.00393,2.3,1.37,1.35,0.316,0.0379
663,1.4467,0.0527,0,0.00127,0.173,0.00398,2.3,1.37,1.34,0.317,0.0379
664,1.4467,0.0547,0,0.0012,0.172,0.00402,2.3,1.37,1.34,0.318,0.038
665,1.4467,0.0568,0,0.00114,0.17,0.00405,2.3,1.37,1.34,0.318,0.038
666,1.4466,0.0589,0,0.00107,0.169,0.00407,2.3,1.37,1.33,0.319,0.0383
667,1.4466,0.0608,0,0.001,0.168,0.00409,2.3,1.37,1.33,0.319,0.0386
668,1.4465,0.0628,0,0.00093,0.167,0.0041,2.3,1.37,1.33,0.32,0.0389
669,1.4465,0.0645,0,0.000858,0.165,0.00411,2.3,1.37,1.33,0.32,0.0392
670,1.4464,0.0661,0,0.000785,0.164,0.00412,2.3,1.37,1.32,0.321,0.0395
671,1.4464,0.0675,0,0.00071,0.163,0.00414,2.3,1.37,1.32,0.322,0.0394
672,1.4463,0.0687,0,0.000639,0.161,0.00415,2.3,1.37,1.32,0.322,0.0394
673,1.4463,0.0696,0,0.000571,0.16,0.00416,2.3,1.38,1.31,0.323,0.0394
