"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
0.61099112033844,0.897549569606781,0.61703372001648,0.0461817309260368,0.103568263351917,0.0444922931492329,0.96964704990387,0.989756226539612,0.917585849761963,0.919171690940857,0.635277390480042,0.969422221183777,0.830073237419128,0.871782243251801,0.875182628631592,0.865439236164093,0.860880374908447,0.883063673973084,0.871470391750336,0.877955436706543,0.60976505279541
0.655043244361877,0.917038261890411,0.662679255008698,0.0541740730404854,0.120315499603748,0.0522462576627731,0.969615340232849,0.989585280418396,0.935145735740662,0.936528146266937,0.640544056892395,0.967846214771271,0.822259604930878,0.893506705760956,0.896449625492096,0.885679244995117,0.881716847419739,0.903540253639221,0.892241358757019,0.897959113121033,0.653894066810608
0.69677072763443,0.933113753795624,0.705866456031799,0.0632918179035187,0.13901598751545,0.0611030496656895,0.970192134380341,0.990543961524963,0.949234426021576,0.950419008731842,0.645882248878479,0.96766722202301,0.811791121959686,0.911785244941711,0.914330303668976,0.902617275714874,0.899244666099548,0.920650839805603,0.90960556268692,0.914618611335754,0.695757389068604
0.735657334327698,0.946341872215271,0.746023833751679,0.073640301823616,0.159746050834656,0.0711681023240089,0.971438467502594,0.991867303848267,0.960610806941986,0.961610794067383,0.651371419429779,0.967898607254028,0.805110037326813,0.927059352397919,0.929252743721008,0.916688442230225,0.913879871368408,0.934834957122803,0.924009025096893,0.928436636924744,0.734836101531982
0.77131587266922,0.957241296768189,0.782726585865021,0.0853245258331299,0.182553827762604,0.0825466811656952,0.973146796226502,0.992591679096222,0.969910979270935,0.970763623714447,0.656994700431824,0.967354834079742,0.803569912910461,0.939767062664032,0.941649079322815,0.928310751914978,0.926037311553955,0.946534395217896,0.935911893844605,0.939890623092651,0.770741045475006
0.803497135639191,0.966234028339386,0.815703868865967,0.0984463840723038,0.207457512617111,0.0953416004776955,0.974921226501465,0.992083072662354,0.977627456188202,0.978366017341614,0.662655174732208,0.965239942073822,0.80169016122818,0.950302124023438,0.951899230480194,0.937869668006897,0.936093091964722,0.956139087677002,0.945710122585297,0.949377536773682,0.803220808506012
0.832104861736298,0.973644137382507,0.844856798648834,0.113102301955223,0.234436675906181,0.109650894999504,0.97633695602417,0.990295946598053,0.984049439430237,0.984707772731781,0.668230891227722,0.96156257390976,0.794507801532745,0.958998799324036,0.960334599018097,0.945682883262634,0.944363474845886,0.963973701000214,0.953736841678619,0.95721173286438,0.832172811031342
0.857179403305054,0.979672610759735,0.87024337053299,0.129380464553833,0.263430863618851,0.125564530491829,0.977066934108734,0.987864136695862,0.98932296037674,0.989920139312744,0.67362517118454,0.957112431526184,0.784156441688538,0.966116189956665,0.96722137928009,0.952006757259369,0.951117634773254,0.970303177833557,0.960254311561585,0.963625490665436,0.857625305652618
0.878884434700012,0.984470069408417,0.89205926656723,0.14735634624958,0.294336140155792,0.143161222338676,0.977028429508209,0.985710799694061,0.993459284305573,0.993991553783417,0.678804457187653,0.953068137168884,0.776964366436005,0.971858322620392,0.972757875919342,0.957042694091797,0.956558525562286,0.975315153598785,0.965462803840637,0.968777775764465,0.879733443260193
0.897478759288788,0.988116979598999,0.910606205463409,0.167092218995094,0.327002942562103,0.162505596876144,0.976398468017578,0.984647989273071,0.996430516242981,0.996888279914856,0.683810770511627,0.950407981872559,0.775005042552948,0.976394355297089,0.977121889591217,0.960959017276764,0.960855603218079,0.979192972183228,0.969520151615143,0.97278642654419,0.898743093013763
0.913289546966553,0.990704596042633,0.926261961460114,0.188629612326622,0.361235767602921,0.183643832802773,0.975553154945374,0.984919011592865,0.998224794864655,0.998587608337402,0.688747942447662,0.949395656585693,0.773390650749207,0.979862809181213,0.98045825958252,0.963901698589325,0.964158833026886,0.982061803340912,0.972552597522736,0.975760221481323,0.914968430995941
0.926676213741303,0.992347657680512,0.93943065404892,0.211989805102348,0.396796196699142,0.20660163462162,0.974939048290253,0.986103951931,0.998886823654175,0.999127447605133,0.693756461143494,0.949483633041382,0.766834735870361,0.982406318187714,0.982915103435516,0.966011583805084,0.966620683670044,0.984086513519287,0.974714696407318,0.977831721305847,0.928753972053528
0.937986016273499,0.993202865123749,0.950509548187256,0.237168371677399,0.43340677022934,0.231380417943001,0.974931299686432,0.987323105335236,0.998587489128113,0.998668253421783,0.698959410190582,0.949560165405273,0.756674766540527,0.984183013439179,0.984648942947388,0.967438042163849,0.968396127223969,0.985410153865814,0.976150870323181,0.979151964187622,0.940440714359283
