"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660420246989e-310,0.909590075,6.9166042024857e-310,6.91660420249361e-310,6.91660420250151e-310,6.91660420250942e-310,6.91660420211733e-310,0.764574958,6.91660420213314e-310,6.91660420214104e-310,0.000181374,0.995903119,0.944243794
6.91660420217266e-310,0.902313691,6.91660420218847e-310,6.91660420219638e-310,6.91660420220428e-310,6.91660420221219e-310,6.91660420222009e-310,0.753876586,6.9166042022359e-310,6.91660420224381e-310,0.000160139,0.994773417,0.94528606
6.91660420227543e-310,0.892251397,6.91660420229124e-310,6.91660420229914e-310,6.91660420230705e-310,6.91660420191496e-310,6.91660420192286e-310,0.743324604,6.91660420193867e-310,6.91660420194658e-310,0.000154509,0.992101664,0.946212496
6.9166042019782e-310,0.890060534,6.91660420199401e-310,6.91660420200191e-310,6.91660420200982e-310,6.91660420201772e-310,6.91660420202563e-310,0.733775698,6.91660420204144e-310,6.91660420204934e-310,0.000147455,0.988591774,0.947084905
6.91660420208096e-310,0.891851681,6.91660420209677e-310,6.91660420210468e-310,6.91660420171259e-310,6.91660420172049e-310,6.9166042017284e-310,0.722497914,6.91660420174421e-310,6.91660420175211e-310,0.000147793,0.984908418,0.947941677
6.91660420178373e-310,0.899164865,6.91660420179954e-310,6.91660420180745e-310,6.91660420181535e-310,6.91660420182326e-310,6.91660420183116e-310,0.712900724,6.91660420184697e-310,6.91660420185488e-310,0.000174384,0.981101728,0.948940117
6.9166042018865e-310,0.910901434,6.91660420190231e-310,6.91660420151022e-310,6.91660420151812e-310,6.91660420152603e-310,6.91660420153393e-310,0.699439134,6.91660420154974e-310,6.91660420155765e-310,0.000234351,0.976805235,0.949880321
6.91660420158927e-310,0.924636296,6.91660420160508e-310,6.91660420161298e-310,6.91660420162089e-310,6.91660420162879e-310,6.9166042016367e-310,0.688575227,6.91660420165251e-310,6.91660420166041e-310,0.000119559,0.97354566,0.950676414
6.91660420169203e-310,0.938626228,6.91660420130785e-310,6.91660420131575e-310,6.91660420132366e-310,6.91660420133156e-310,6.91660420133947e-310,0.674039061,6.91660420135528e-310,6.91660420136318e-310,4.3811e-05,0.971948013,0.951054332
6.9166042013948e-310,0.953526854,6.91660420141061e-310,6.91660420141852e-310,6.91660420142642e-310,6.91660420143433e-310,6.91660420144223e-310,0.657552716,6.91660420145804e-310,6.91660420146595e-310,6.91660420147385e-310,0.97053597,0.951531833
6.91660420149757e-310,0.971831245,6.91660420111338e-310,6.91660420112129e-310,6.91660420112919e-310,6.9166042011371e-310,6.916604201145e-310,0.643729834,6.91660420116081e-310,6.91660420116872e-310,6.91660420117662e-310,0.970436371,0.952326952
