"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660421532666e-310,0.9350631759,6.91660421534247e-310,6.91660421535038e-310,6.91660421535828e-310,6.91660421536619e-310,6.9166042153741e-310,0.7968381004,6.91660421538991e-310,6.91660421539781e-310,6.1894e-05,0.990375969,0.863256985
6.91660421542943e-310,0.9019013396,6.91660421544524e-310,6.91660421545315e-310,6.91660421546105e-310,6.9166042154737e-310,6.9166042154816e-310,0.8026020633,6.91660421549741e-310,6.91660421550532e-310,5.6196e-05,0.992015684,0.865138808
6.91660421553694e-310,0.8716579242,6.91660421555275e-310,6.91660421556065e-310,6.91660421556856e-310,6.91660421557646e-310,6.91660421558437e-310,0.8045193956,6.91660421560018e-310,6.91660421560808e-310,3.9155e-05,0.993287985,0.867319035
6.9166042156397e-310,0.844024435,6.91660421565551e-310,6.91660421566342e-310,6.91660421567607e-310,6.91660421568397e-310,6.91660421569188e-310,0.8024091825,6.91660421570769e-310,6.91660421571559e-310,3.185e-05,0.992536418,0.869696339
6.91660421574721e-310,0.8228085186,6.91660421576302e-310,6.91660421577093e-310,6.91660421577883e-310,6.91660421578674e-310,6.91660421579464e-310,0.7969907174,6.91660421581045e-310,6.91660421581836e-310,0.000121264,0.990404949,0.874301992
6.91660421584998e-310,0.8153604258,6.91660421586579e-310,6.91660421587844e-310,6.91660421588634e-310,6.91660421589425e-310,6.91660421590215e-310,0.7892030428,6.91660421591796e-310,6.91660421592587e-310,0.000108791,0.987128016,0.878588437
6.91660421595749e-310,0.820576391,6.9166042159733e-310,6.9166042159812e-310,6.91660421598911e-310,6.91660421599701e-310,6.91660421600492e-310,0.7769162108,6.91660421602073e-310,6.91660421602863e-310,2.5451e-05,0.983502057,0.882438825
6.91660421606025e-310,0.8395148982,6.91660421608081e-310,6.91660421608871e-310,6.91660421609662e-310,6.91660421610452e-310,6.91660421611243e-310,0.7651840639,6.91660421612824e-310,6.91660421613614e-310,6.91660421614405e-310,0.980022548,0.885928758
6.91660421616776e-310,0.8699217096,6.91660421618357e-310,6.91660421619148e-310,6.91660421619938e-310,6.91660421620729e-310,6.91660421621519e-310,0.7511971738,6.916604216231e-310,6.91660421623891e-310,6.91660421624681e-310,0.976174463,0.889473121
6.91660421627053e-310,0.9152620547,6.91660421629108e-310,6.91660421629899e-310,6.91660421630689e-310,6.9166042163148e-310,6.9166042163227e-310,0.7370035657,6.91660421633851e-310,6.91660421634642e-310,6.91660421635432e-310,0.972568388,0.89322574
