"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
0.00912754610180855,0.0381597280502319,0.00824643019586802,0.000187682322575711,0.000502453767694533,0.000186786390258931,0.308273792266846,0.804554760456085,0.0384496487677097,0.0386305935680866,0.110542714595795,0.819211423397064,0.949022352695465,0.028988428413868,0.0388054959475994,0.0448811799287796,0.0449936389923096,0.0460892468690872,0.0408462099730969,0.0390603952109814,0.00908607989549637
0.0123619278892875,0.0509701892733574,0.0112517205998302,0.000249877688474953,0.000678117561619729,0.000248635857133195,0.376538336277008,0.86030524969101,0.0514180324971676,0.0516567416489124,0.140843719244003,0.873989939689636,0.947921872138977,0.0395867191255093,0.0516160167753696,0.0586650520563126,0.0586839206516743,0.0601496733725071,0.0538166761398315,0.0518643632531166,0.0122944675385952
0.016571007668972,0.0671046301722527,0.0151928281411529,0.00033124492620118,0.000910128874238581,0.000329540314851329,0.449409306049347,0.902957856655121,0.0677742213010788,0.0680829733610153,0.174856811761856,0.915289521217346,0.943314373493195,0.0532480739057064,0.0676925554871559,0.0756648853421211,0.0755331292748451,0.0774622112512589,0.0699451193213463,0.0679005086421967,0.0164660699665546
0.0219836123287678,0.0870706886053085,0.0202989801764488,0.000437190057709813,0.00121468491852283,0.000434868677984923,0.524432718753815,0.934067070484161,0.0880424082279205,0.0884344875812531,0.211612716317177,0.944830119609833,0.933647274971008,0.0705394744873047,0.0875251293182373,0.0962918549776077,0.0959380120038986,0.0984360575675964,0.0896694883704186,0.0876427814364433,0.0218262374401093
0.0288601107895374,0.111337788403034,0.0268336813896894,0.000574478763155639,0.0016119898064062,0.000571333046536893,0.598822891712189,0.956095099449158,0.112709805369377,0.113197408616543,0.249808862805367,0.965208947658539,0.92412531375885,0.0920211002230644,0.111566819250584,0.120907761156559,0.120245292782784,0.123427487909794,0.113387003540993,0.111524671316147,0.0286310818046331
0.0374893397092819,0.14029598236084,0.0350922420620918,0.000751524697989225,0.00212701363489032,0.000747280195355415,0.669770002365112,0.971630334854126,0.142182156443596,0.142777681350708,0.287934213876724,0.979091644287109,0.919753968715668,0.118202984333038,0.14019550383091,0.149791389703751,0.148719951510429,0.152708724141121,0.141417056322098,0.139901965856552,0.0371645390987396
0.0481831207871437,0.174208521842957,0.0453970991075039,0.000978719210252166,0.00279038795270026,0.00097302277572453,0.734770178794861,0.982755601406097,0.176737770438194,0.177450612187386,0.324442654848099,0.988588094711304,0.918666899204254,0.149492844939232,0.17366948723793,0.183103486895561,0.181511864066124,0.186431124806404,0.17396642267704,0.173009917140007,0.0477331504225731
0.0612674690783024,0.213166102766991,0.0580889470875263,0.00126881897449493,0.0036392929032445,0.00126122136134654,0.791924238204956,0.990728557109833,0.216478183865547,0.217314496636391,0.357983857393265,0.994939863681793,0.914638102054596,0.186134785413742,0.212086498737335,0.220853418111801,0.218623816967011,0.224593758583069,0.211089909076691,0.210921823978424,0.0606569945812225
0.0770701617002487,0.257047057151794,0.0735150128602982,0.00163738464470953,0.00471845967695117,0.0016273035435006,0.84015154838562,0.996090233325958,0.261285305023193,0.262247204780579,0.387585341930389,0.998663544654846,0.905383825302124,0.228165507316589,0.255342453718185,0.262871652841568,0.259887516498566,0.267018765211105,0.252660989761353,0.253514587879181,0.0762581899762154
0.0959052965044975,0.305485516786575,0.0920125767588615,0.00210325443185866,0.00608124909922481,0.00208998122252524,0.879261016845703,0.999015808105469,0.310791254043579,0.311875492334366,0.412785559892654,0.999906957149506,0.895603597164154,0.275361776351929,0.303105622529984,0.308794230222702,0.304943680763245,0.313327580690384,0.298348039388657,0.300437927246094,0.0948456898331642
